#priv STC SR, Rn 0000nnnn00000010
#priv STC VBR, Rn 0000nnnn00100010
#priv STC SSR , Rn 0000nnnn00110010
#priv STC SPC, Rn 0000nnnn01000010
#priv STC SGR, Rn 0000nnnn00111010
#priv STC DBR , Rn 0000nnnn11111010
#priv STC R0_BANK, Rn 0000nnnn10000010
#priv STC R1_BANK, Rn 0000nnnn10010010
#priv STC R2_BANK, Rn 0000nnnn10100010
#priv STC R3_BANK, Rn 0000nnnn10110010
#priv STC R4_BANK, Rn 0000nnnn11000010
#priv STC R5_BANK, Rn 0000nnnn11010010
#priv STC R6_BANK, Rn 0000nnnn11100010
#priv STC R7_BANK, Rn 0000nnnn11110010
#priv STC.L SR, @-Rn 0100nnnn00000011
#priv STC.L VBR, @-Rn 0100nnnn00100011
#priv STC.L SSR, @-Rn 0100nnnn00110011
#priv STC.L SPC, @-Rn 0100nnnn01000011
#priv STC.L SGR, @-Rn 0100nnnn00110010
#priv STC.L DBR, @-Rn 0100nnnn11110010
#priv STC.L R0_BANK, @-Rn 0100nnnn10000011
#priv STC.L R1_BANK, @-Rn 0100nnnn10010011
#priv STC.L R2_BANK, @-Rn 0100nnnn10100011
#priv STC.L R3_BANK, @-Rn 0100nnnn10110011
#priv STC.L R4_BANK, @-Rn 0100nnnn11000011
#priv STC.L R5_BANK, @-Rn 0100nnnn11010011
#priv STC.L R6_BANK, @-Rn 0100nnnn11100011
#priv STC.L R7_BANK, @-Rn 0100nnnn11110011
STS MACH,Rn 0000nnnn00001010
STS MACL,Rn 0000nnnn00011010
STS PR,Rn 0000nnnn00101010
STS.L MACH,@-Rn 0100nnnn00000010
STS.L MACL,@-Rn 0100nnnn00010010
STS.L PR,@-Rn 0100nnnn00100010
STS FPUL,Rn 0000nnnn01011010
STS FPSCR,Rn 0000nnnn01101010
STS.L FPUL,@-Rn 0100nnnn01010010
STS.L FPSCR,@-Rn 0100nnnn01100010
SUB Rm,Rn 0011nnnnmmmm1000
SUBC Rm,Rn 0011nnnnmmmm1010
SWAP.B Rm,Rn 0110nnnnmmmm1000 1
SWAP.W Rm,Rn 0110nnnnmmmm1001
TAS.B @Rn 0100nnnn00011011
TRAPA i 11000011iiiiiiii
#no_mutate TST Rm,Rn 0010nnnnmmmm1000
#no_mutate TST i,R0 11001000iiiiiiii
#no_mutate TST.B i,@(R0,GBR) 11001100iiiiiiii
XOR Rm,Rn 0010nnnnmmmm1010
XOR i,R0 11001010iiiiiiii
XOR.B i,@(R0,GBR) 11001110iiiiiiii
XTRCT Rm,Rn 0010nnnnmmmm1101
